STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,TOTAL IPC CRIMES
MAHARASHTRA,GONDIA,2005,29,21,1,59,2108
MAHARASHTRA,HINGOLI,2005,34,11,2,106,1908
MAHARASHTRA,JALGAON,2005,74,55,4,301,4563
MAHARASHTRA,JALNA,2005,37,40,21,215,2880
MAHARASHTRA,KOLHAPUR,2005,65,62,22,76,3423
MAHARASHTRA,LATUR,2005,49,40,40,107,3379
MAHARASHTRA,MUMBAI,2005,212,136,9,336,31432
MAHARASHTRA,MUMBAI RLY.,2005,5,1,0,0,1818
MAHARASHTRA,NAGPUR COMMR.,2005,106,68,4,185,9605
MAHARASHTRA,NAGPUR RLY.,2005,9,2,0,0,1110
MAHARASHTRA,NAGPUR RURAL,2005,67,28,8,86,4815
MAHARASHTRA,NANDED,2005,70,112,17,239,5420
MAHARASHTRA,NANDURBAR,2005,27,22,3,73,1168
MAHARASHTRA,NASIK COMMR.,2005,28,17,0,121,2776
MAHARASHTRA,NASIK RURAL,2005,105,31,8,375,4513
MAHARASHTRA,NAVI MUMBAI,2005,51,21,9,63,3843
MAHARASHTRA,OSMANABAD,2005,41,19,1,118,3027
MAHARASHTRA,PARBHANI,2005,39,33,10,131,2383
MAHARASHTRA,PUNE COMMR.,2005,106,85,1,201,11817
MAHARASHTRA,PUNE RLY.,2005,1,1,0,0,208
MAHARASHTRA,PUNE RURAL,2005,123,43,6,172,5343
MAHARASHTRA,RAIGAD,2005,41,22,4,63,2322
MAHARASHTRA,RATNAGIRI,2005,21,3,2,40,1458
MAHARASHTRA,SANGLI,2005,77,12,7,105,3068
MAHARASHTRA,SATARA,2005,59,32,6,180,3777
MAHARASHTRA,SINDHUDURG,2005,15,8,0,4,853
MAHARASHTRA,SOLAPUR COMMR.,2005,24,15,1,47,1644
MAHARASHTRA,SOLAPUR RURAL,2005,97,38,6,127,3363
MAHARASHTRA,THANE COMMR.,2005,106,52,1,246,7664
MAHARASHTRA,THANE RURAL,2005,140,51,5,133,4600
MAHARASHTRA,WARDHA,2005,45,30,4,94,4018
MAHARASHTRA,WASHIM,2005,24,24,10,139,2096
MAHARASHTRA,YAVATMAL,2005,72,73,10,233,5439
MAHARASHTRA,TOTAL,2005,2621,1614,341,6233,187027


MAHARASHTRA,AHMEDNAGAR,2006,86,49,0,467,6173
MAHARASHTRA,AKOLA,2006,47,52,1,135,4222
MAHARASHTRA,AMRAVATI COMMR.,2006,27,14,3,76,2591
MAHARASHTRA,AMRAVATI RURAL,2006,67,32,4,131,3806
MAHARASHTRA,AURANGABAD COMMR.,2006,31,24,3,107,2766
MAHARASHTRA,AURANGABAD RURAL,2006,42,17,39,255,2591
MAHARASHTRA,BEED,2006,63,46,12,310,4380
MAHARASHTRA,BHANDARA,2006,35,18,4,89,2583
MAHARASHTRA,BULDHANA,2006,53,64,13,192,4152
MAHARASHTRA,CHANDRAPUR,2006,42,20,6,123,3703
MAHARASHTRA,DHULE,2006,38,33,6,189,2516
MAHARASHTRA,GADCHIROLI,2006,59,52,2,47,1278
MAHARASHTRA,GONDIA,2006,31,13,5,55,2296
MAHARASHTRA,HINGOLI,2006,41,25,8,100,1790
MAHARASHTRA,JALGAON,2006,75,53,14,305,4443
MAHARASHTRA,JALNA,2006,52,25,19,248,3011
MAHARASHTRA,KOLHAPUR,2006,65,45,25,132,3781
MAHARASHTRA,LATUR,2006,54,40,65,144,3902
MAHARASHTRA,MUMBAI COMMR.,2006,239,135,17,327,31070
MAHARASHTRA,MUMBAI RLY.,2006,16,0,0,0,1897
MAHARASHTRA,NAGPUR COMMR.,2006,85,51,7,180,9991
MAHARASHTRA,NAGPUR RLY.,2006,7,3,1,0,1089
MAHARASHTRA,NAGPUR RURAL,2006,74,24,5,67,4514
MAHARASHTRA,NANDED,2006,71,73,16,221,4828
MAHARASHTRA,NANDURBAR,2006,26,14,0,96,1266
MAHARASHTRA,NASIK COMMR.,2006,38,14,2,119,2951
MAHARASHTRA,NASIK RURAL,2006,77,40,7,331,4767
MAHARASHTRA,NAVI MUMBAI,2006,59,20,7,59,3994
MAHARASHTRA,OSMANABAD,2006,58,27,3,150,3227
MAHARASHTRA,PARBHANI,2006,69,47,10,162,2512
MAHARASHTRA,PUNE COMMR.,2006,104,99,6,236,11484
MAHARASHTRA,PUNE RLY.,2006,3,0,0,0,290
MAHARASHTRA,PUNE RURAL,2006,124,62,15,161,5573
MAHARASHTRA,RAIGAD,2006,54,27,0,58,2589
MAHARASHTRA,RATNAGIRI,2006,16,7,1,52,1634
MAHARASHTRA,SANGLI,2006,61,34,8,99,2668
MAHARASHTRA,SATARA,2006,64,40,8,255,4643
MAHARASHTRA,SINDHUDURG,2006,15,6,3,13,816
MAHARASHTRA,SOLAPUR COMMR.,2006,15,28,2,59,1786
MAHARASHTRA,SOLAPUR RURAL,2006,77,38,10,103,3652
MAHARASHTRA,THANE COMMR.,2006,106,89,4,269,8224
MAHARASHTRA,THANE RURAL,2006,152,46,6,147,4970
MAHARASHTRA,WARDHA,2006,49,28,2,134,4130
MAHARASHTRA,WASHIM,2006,28,19,10,134,2011
MAHARASHTRA,YAVATMAL,2006,61,87,8,201,5228
MAHARASHTRA,TOTAL,2006,2656,1680,387,6738,191788


MAHARASHTRA,AHMEDNAGAR,2007,99,73,3,475,6753
MAHARASHTRA,AKOLA,2007,38,43,3,165,4067
MAHARASHTRA,AMRAVATI COMMR.,2007,30,22,3,74,2643
MAHARASHTRA,AMRAVATI RURAL,2007,51,36,11,123,3692
MAHARASHTRA,AURANGABAD COMMR.,2007,37,27,11,171,3155
MAHARASHTRA,AURANGABAD RURAL,2007,57,19,39,256,3032
MAHARASHTRA,BEED,2007,69,50,18,353,4466
MAHARASHTRA,BHANDARA,2007,30,10,2,68,2554
MAHARASHTRA,BULDHANA,2007,56,41,12,256,3780
MAHARASHTRA,CHANDRAPUR,2007,59,23,5,169,4148
MAHARASHTRA,DHULE,2007,49,23,10,223,2681
MAHARASHTRA,GADCHIROLI,2007,53,47,3,44,1282
MAHARASHTRA,GONDIA,2007,34,14,3,51,1937
MAHARASHTRA,HINGOLI,2007,29,16,3,98,1597
MAHARASHTRA,JALGAON,2007,94,38,20,420,4599
MAHARASHTRA,JALNA,2007,52,22,31,266,2584
MAHARASHTRA,KOLHAPUR,2007,65,47,16,125,3989
MAHARASHTRA,LATUR,2007,73,37,66,107,3837
MAHARASHTRA,MUMBAI COMMR.,2007,230,116,17,380,30481
MAHARASHTRA,MUMBAI RLY.,2007,4,5,0,0,1966
MAHARASHTRA,NAGPUR COMMR.,2007,73,60,7,251,9791
MAHARASHTRA,NAGPUR RLY.,2007,4,1,0,0,1031
MAHARASHTRA,NAGPUR RURAL,2007,71,24,7,60,4436
MAHARASHTRA,NANDED,2007,83,82,19,213,4654
MAHARASHTRA,NANDURBAR,2007,32,19,3,94,1579
MAHARASHTRA,NASIK COMMR.,2007,33,26,1,127,3115
MAHARASHTRA,NASIK RURAL,2007,80,56,8,326,4899
MAHARASHTRA,NAVI MUMBAI,2007,45,22,5,53,4705
MAHARASHTRA,OSMANABAD,2007,44,24,2,172,3206
MAHARASHTRA,PARBHANI,2007,47,39,8,183,2743
MAHARASHTRA,PUNE COMMR.,2007,126,126,6,250,12818
MAHARASHTRA,PUNE RLY.,2007,6,0,0,0,392
MAHARASHTRA,PUNE RURAL,2007,130,51,17,203,6244
MAHARASHTRA,RAIGAD,2007,37,28,4,72,2391
MAHARASHTRA,RATNAGIRI,2007,19,4,2,48,1600
MAHARASHTRA,SANGLI,2007,74,24,11,116,2651
MAHARASHTRA,SATARA,2007,75,26,9,256,4335
MAHARASHTRA,SINDHUDURG,2007,17,3,4,8,782
MAHARASHTRA,SOLAPUR COMMR.,2007,22,24,0,81,1564
MAHARASHTRA,SOLAPUR RURAL,2007,77,53,4,128,4220
MAHARASHTRA,THANE COMMR.,2007,120,74,20,355,8911
MAHARASHTRA,THANE RURAL,2007,128,39,7,139,5267
MAHARASHTRA,WARDHA,2007,49,32,0,92,4026
MAHARASHTRA,WASHIM,2007,22,19,8,131,2155
MAHARASHTRA,YAVATMAL,2007,70,50,8,174,4949
MAHARASHTRA,TOTAL,2007,2693,1615,436,7356,195707


MAHARASHTRA,AHMEDNAGAR,2008,134,107,0,537,7070
MAHARASHTRA,AKOLA,2008,54,72,7,153,4132
MAHARASHTRA,AMRAVATI COMMR.,2008,18,30,4,85,2439
MAHARASHTRA,AMRAVATI RURAL,2008,75,27,3,146,4150
MAHARASHTRA,AURANGABAD COMMR.,2008,39,38,4,138,3452
MAHARASHTRA,AURANGABAD RURAL,2008,56,36,39,226,3347
MAHARASHTRA,BEED,2008,61,34,11,332,4500
MAHARASHTRA,BHANDARA,2008,28,14,0,73,2845
MAHARASHTRA,BULDHANA,2008,54,47,9,250,4494
MAHARASHTRA,CHANDRAPUR,2008,51,47,14,221,4456
MAHARASHTRA,DHULE,2008,54,38,3,196,2783
MAHARASHTRA,GADCHIROLI,2008,56,33,2,46,1195
MAHARASHTRA,GONDIA,2008,35,14,3,58,2023
MAHARASHTRA,HINGOLI,2008,43,29,7,99,1751
MAHARASHTRA,JALGAON,2008,83,57,18,456,4901
MAHARASHTRA,JALNA,2008,58,33,27,309,2832
MAHARASHTRA,KOLHAPUR,2008,59,26,17,153,4398
MAHARASHTRA,LATUR,2008,74,28,77,187,3681
MAHARASHTRA,MUMBAI COMMR.,2008,210,132,11,502,32770
MAHARASHTRA,MUMBAI RLY.,2008,8,1,1,0,2222
MAHARASHTRA,NAGPUR COMMR.,2008,100,57,7,237,8661
MAHARASHTRA,NAGPUR RLY.,2008,5,7,0,0,1247
MAHARASHTRA,NAGPUR RURAL,2008,77,45,7,95,4567
MAHARASHTRA,NANDED,2008,88,57,8,252,4778
MAHARASHTRA,NANDURBAR,2008,30,14,1,93,1501
MAHARASHTRA,NASIK COMMR.,2008,43,31,5,141,3813
MAHARASHTRA,NASIK RURAL,2008,90,55,5,287,4480
MAHARASHTRA,NAVI MUMBAI,2008,61,39,1,72,4686
MAHARASHTRA,OSMANABAD,2008,53,25,2,183,3072
MAHARASHTRA,PARBHANI,2008,49,37,15,204,2767
MAHARASHTRA,PUNE COMMR.,2008,137,141,7,273,14467
MAHARASHTRA,PUNE RLY.,2008,2,2,1,0,455
MAHARASHTRA,PUNE RURAL,2008,146,77,13,189,7183
MAHARASHTRA,RAIGAD,2008,43,31,5,41,2061
MAHARASHTRA,RATNAGIRI,2008,18,15,0,55,1561
MAHARASHTRA,SANGLI,2008,46,27,12,140,2909
MAHARASHTRA,SATARA,2008,60,27,3,164,4634
MAHARASHTRA,SINDHUDURG,2008,6,7,0,14,795
MAHARASHTRA,SOLAPUR COMMR.,2008,17,15,0,66,1684
MAHARASHTRA,SOLAPUR RURAL,2008,88,59,9,241,4720
MAHARASHTRA,THANE COMMR.,2008,99,76,12,384,9479
